"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1130060651370565634","https://twitter.com/c18papa/status/1130060651370565634","Ο Edsger W. Dijkstra ήταν Ολλανδός επιστήμονας που είχε σημαντικές συνεισφορές στην πληροφορική σε τομείς όπως στην ανάλυση αλγορίθμων, στην κατασκευή μεταγλωττιστών, στα λειτουργικά συστήματα, στη θεωρία γράφων. Ο ίδιος διατύπωσε την μεθοδολογία του ""δομημένου προγραμματισμού"". https://t.co/D9e81zOjxq","2019-05-19 10:40 +0000","39.0","1.0","0.02564102564102564","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","11","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1130055668117987329","https://twitter.com/c18papa/status/1130055668117987329","Η γλώσσα προγραμματισμού #Scratch είναι μια γλώσσα block-based γραφικού προγραμματισμού η οποία καθιστά προσιτό τον προγραμματισμό στα παιδιά και τους εφήβους. Διδάσκεται σε πολλές χώρες και είναι ευρέως γνωστή  σε όλο τον κόσμο. Αναπτύχθηκε από το MIT Media Lab. #MIT https://t.co/HS47AenuD4","2019-05-19 10:20 +0000","57.0","3.0","0.05263157894736842","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0","0","0","0","0","11","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1130042086709964805","https://twitter.com/c18papa/status/1130042086709964805","#crowdsourcing Η διάδραση σε μεγάλη κλίμακα μπορεί να χρησιμοποιηθεί για να λύσει δύσκολα προβλήματα τα οποία οι υπολογιστές δεν μπορούν να τα αντιμετωπίσουν από μόνοι τους, όπως είναι η αναγνώριση αντικειμένων σε μια φωτογραφία #recaptcha https://t.co/A1iIOMmkEC via share button","2019-05-19 09:26 +0000","55.0","1.0","0.01818181818181818","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1129706063530536960","https://twitter.com/c18papa/status/1129706063530536960","Η μετατόπιση της διάδρασης από τον επιτραπέζιο προς τον διάχυτο υπολογισμό, αποτελεί πρόκληση για τους προγραμματιστές καθώς τα εργαλεία ανάπτυξης είναι διαθέσιμα κυρίως για επιτραπέζιο υπολογιστή.Μήπως τα μελλοντικά εργαλεία ανάπτυξης θα εκτελούνται απευθείας πάνω στις συσκευές; https://t.co/P9ZpBO3EwS","2019-05-18 11:11 +0000","102.0","1.0","0.00980392156862745","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","14","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1129695229479739392","https://twitter.com/c18papa/status/1129695229479739392","Τα #Microsoft Windows είναι μια σειρά από λειτουργικά συστήματα με γραφική επιφάνεια εργασίας. Η 1η έκδοση εμφανίστηκε το 1985 με σκοπό να ανταγωνιστεί τον #Apple #Macintosh που χρησιμοποιούσε γραφικό περιβάλλον. Tα Microsoft Windows τελικά επικράτησαν. https://t.co/iO0Jn3U0Vk","2019-05-18 10:28 +0000","138.0","5.0","0.036231884057971016","0.0","0.0","1.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","16","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1129321698401116161","https://twitter.com/c18papa/status/1129321698401116161","Το #RaspberryPi είναι μια πρωτοβουλία που ξεκίνησε το 2008 στοχεύοντας στην εκμάθηση προγραμματισμού από νέους χρήστες. Πρόκειται για ένα πλήρη υπολογιστή με μέγεθος πιστωτικής κάρτας και χρησιμοποιείται για τη δημιουργία ρομπότ,servers,smart homes,και πολλά άλλα. https://t.co/09MoJ5jDpk","2019-05-17 09:44 +0000","230.0","4.0","0.017391304347826087","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","24","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1129313506304634881","https://twitter.com/c18papa/status/1129313506304634881","Σίγουρα ο καθένας μας έχει αγοράσει τουλάχιστον μια φορά κάτι από ένα #eshop. Το ηλεκτρονικό εμπόριο στην περίπτωση παροxής υπηρεσιών έχει αποδειχτεί πιο αποτελεσματικό από το φυσικό, τόσο για τους χρήστες όσο και για τους παρόχους της υπηρεσίας. #ecommerce https://t.co/Y2eYgRlw8H","2019-05-17 09:11 +0000","254.0","4.0","0.015748031496062992","0.0","0.0","3.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1129307166178009088","https://twitter.com/c18papa/status/1129307166178009088","Η χρήση του υπολογιστή ως μέσο επικοινωνίας είχε ως αποτέλεσμα τη δημιουργία πολλών κοινωνικών δικτύων. Η λειτουργία των κοινωνικών δικτύων είναι ένα επίκαιρο θέμα που έχει απασχολήσει πολλούς ανθρώπους και οι απόψεις για το αν επιδρά θετικά ή αρνητικά στη ζωή μας διίστανται. https://t.co/YuB8zr3glS","2019-05-17 08:46 +0000","341.0","6.0","0.017595307917888565","0.0","1.0","2.0","0.0","3.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1129128659665719302","https://twitter.com/c18papa/status/1129128659665719302","Οι άνθρωποι έμαθαν τον Η/Υ αρχικά ως εργαλείο, όπως για την επεξεργασία κειμένων και για τη σχεδίαση αντικειμένων. Η αντίληψη αυτή παραμένει δημοφιλής, ταυτόχρονα όμως αποτελεί και μέσο επικοινωνίας και οι εφαρμογές επιβάλλεται να έχουν και μια κοινωνική διάσταση #collaboration https://t.co/V44xnWicTw","2019-05-16 20:57 +0000","218.0","2.0","0.009174311926605505","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","23","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1129125196730908672","https://twitter.com/c18papa/status/1129125196730908672","Mία απόδειξη ότι οι τεχνικές της ανθρωποκεντρικής σχεδίασης δεν είναι ασφαλείς, ήταν η προσπάθεια της Microsoft να δώσει μια πιο “φιλική” διάδραση στις εφαρμογές της με το Microsoft Bob και το σχετικό Microsoft Office Clip. #MicrosoftBob #OfficeClip #Microsoft https://t.co/3xIz2Du3tf","2019-05-16 20:43 +0000","137.0","3.0","0.021897810218978103","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","11","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
